ICD9CMCode,TotalDiag,dx0,dx1,dx2,dx3,dx4,dx5,dx6,dx7,dx8,dx9,dx10,dx11,dx12,dx13,dx14,dx15,dx16,dx17,dx18,dx19,dx20,dx21,dx22,dx23,dx24
001.0,1,,,,,,1,,,,,,,,,,,,,,,,,,,
001.9,4,,,,,,4,,,,,,,,,,,,,,,,,,,
002.0,46,25,11,2,5,,1,1,1,,,,,,,,,,,,,,,,,
002.1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,
002.9,2,1,1,,,,,,,,,,,,,,,,,,,,,,,
003.0,523,310,66,32,24,19,26,15,8,8,4,6,3,,,,,1,,1,,,,,,
003.1,149,128,11,3,2,2,,1,,,,,1,,,,,,1,,,,,,,
003.20,2,1,,,,1,,,,,,,,,,,,,,,,,,,,
003.21,4,2,2,,,,,,,,,,,,,,,,,,,,,,,
003.22,3,,1,,1,1,,,,,,,,,,,,,,,,,,,,
003.23,2,1,,,,,,,,1,,,,,,,,,,,,,,,,
003.24,7,4,3,,,,,,,,,,,,,,,,,,,,,,,
003.29,6,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
003.8,16,4,2,2,3,,1,2,,1,1,,,,,,,,,,,,,,,
003.9,125,36,34,12,7,8,7,5,6,3,2,,,2,,,,,2,,,,1,,,
004.0,16,9,2,1,,1,1,,1,1,,,,,,,,,,,,,,,,
004.1,27,12,,2,,3,,1,5,,1,,,,,2,1,,,,,,,,,
004.2,1,1,,,,,,,,,,,,,,,,,,,,,,,,
004.3,48,32,3,4,1,2,1,,1,,,1,,,1,,,,,,2,,,,,
004.8,53,27,1,4,5,4,2,2,2,,2,2,,,,1,,1,,,,,,,,
004.9,112,48,8,13,4,6,4,6,5,2,4,2,2,1,,1,1,,1,1,1,,1,1,,
005.0,5,4,,,1,,,,,,,,,,,,,,,,,,,,,
005.1,9,4,,1,1,1,1,1,,,,,,,,,,,,,,,,,,
005.3,1,,,,,,,,,1,,,,,,,,,,,,,,,,
005.4,3,1,2,,,,,,,,,,,,,,,,,,,,,,,
005.89,31,12,,6,1,4,1,1,1,3,1,,1,,,,,,,,,,,,,
005.9,579,251,70,57,45,26,33,21,17,14,7,10,2,7,3,3,3,2,1,3,1,2,,,1,
006.0,1,,,1,,,,,,,,,,,,,,,,,,,,,,
006.1,3,,,1,1,,,,,,1,,,,,,,,,,,,,,,
006.2,2,1,,,,,,,1,,,,,,,,,,,,,,,,,
006.3,24,9,13,,1,,,,,,,,,,1,,,,,,,,,,,
006.6,1,,,,,,,,,1,,,,,,,,,,,,,,,,
006.8,2,1,,,,,,,,,1,,,,,,,,,,,,,,,
006.9,12,3,1,1,,1,1,2,1,,1,,1,,,,,,,,,,,,,
007.0,2,,,1,,1,,,,,,,,,,,,,,,,,,,,
007.1,84,24,18,4,6,5,5,9,1,2,1,2,1,4,2,,,,,,,,,,,
007.2,12,1,3,2,3,1,1,1,,,,,,,,,,,,,,,,,,
007.3,1,,,,,,,,,,,,,1,,,,,,,,,,,,
007.4,91,19,16,9,16,8,6,5,2,3,4,,1,,,,,1,,1,,,,,,
007.5,2,,,,,1,1,,,,,,,,,,,,,,,,,,,
007.8,17,7,5,1,1,1,,,1,,,,,,1,,,,,,,,,,,
008.00,73,29,9,12,6,1,5,4,2,1,,1,2,1,,,,,,,,,,,,
008.01,6,3,1,,1,1,,,,,,,,,,,,,,,,,,,,
008.02,3,3,,,,,,,,,,,,,,,,,,,,,,,,
008.04,48,39,7,1,,,1,,,,,,,,,,,,,,,,,,,
008.09,10,5,1,1,,1,,,,,,1,,1,,,,,,,,,,,,
008.2,11,5,1,1,1,1,,,,1,,,1,,,,,,,,,,,,,
008.3,8,1,,1,2,1,,2,,1,,,,,,,,,,,,,,,,
008.41,26,9,4,5,3,2,1,,1,1,,,,,,,,,,,,,,,,
008.42,34,12,4,1,1,2,3,4,2,2,3,,,,,,,,,,,,,,,
008.43,538,297,81,41,30,24,16,13,6,8,4,6,5,2,1,,2,,,,1,,,1,,
008.44,7,1,2,,1,2,1,,,,,,,,,,,,,,,,,,,
008.45,30134,6908,3491,4033,3881,3232,2413,1706,1098,781,608,470,363,289,224,175,118,94,78,44,43,33,14,15,13,10
008.46,42,9,2,2,4,6,3,4,3,,1,3,,1,2,,1,1,,,,,,,,
008.47,30,13,2,2,4,,2,2,3,1,1,,,,,,,,,,,,,,,
008.49,81,31,7,13,8,2,5,4,3,,,2,2,1,,,1,1,,,,,1,,,
008.5,313,136,44,35,20,26,12,12,7,5,4,5,1,1,1,2,1,1,,,,,,,,
008.61,481,296,86,33,14,15,11,9,7,2,2,2,,1,,1,,1,,,1,,,,,
008.62,72,28,7,5,6,2,6,2,5,2,2,2,1,2,,,2,,,,,,,,,
008.63,204,64,25,15,13,18,17,10,15,10,5,3,3,,,2,,1,1,1,1,,,,,
008.64,1,1,,,,,,,,,,,,,,,,,,,,,,,,
008.65,1,1,,,,,,,,,,,,,,,,,,,,,,,,
008.66,1,,1,,,,,,,,,,,,,,,,,,,,,,,
008.67,49,18,10,3,4,7,1,,1,1,1,2,,,,,,,,,1,,,,,
008.69,267,49,19,29,25,19,27,23,13,14,7,8,6,6,6,2,5,1,,4,,1,1,,2,
008.8,7438,3312,1038,559,434,347,324,281,206,198,148,101,84,93,54,47,41,32,31,28,12,17,14,16,12,9
009.0,2411,1209,368,214,143,74,103,81,57,61,28,25,16,12,7,4,4,1,1,1,1,,,,,1
009.1,408,211,59,34,23,15,12,9,11,14,9,3,1,3,1,,,,2,,,1,,,,
009.2,362,122,67,49,22,16,18,13,15,13,11,5,6,2,1,1,,,,,1,,,,,
009.3,103,30,19,4,8,8,8,8,5,3,4,2,,,,,1,3,,,,,,,,
010.00,4,1,,1,,,,1,,,1,,,,,,,,,,,,,,,
010.12,1,1,,,,,,,,,,,,,,,,,,,,,,,,
010.13,1,,,,,1,,,,,,,,,,,,,,,,,,,,
010.14,3,1,1,,,,1,,,,,,,,,,,,,,,,,,,
010.80,1,,,1,,,,,,,,,,,,,,,,,,,,,,
010.83,2,2,,,,,,,,,,,,,,,,,,,,,,,,
010.85,2,,,,,,,,,,,,,1,,,,,1,,,,,,,
010.86,2,2,,,,,,,,,,,,,,,,,,,,,,,,
010.90,5,1,1,,,,,2,,,,,,,1,,,,,,,,,,,
010.93,3,1,,,1,,,,1,,,,,,,,,,,,,,,,,
010.94,2,1,,,,,,,,1,,,,,,,,,,,,,,,,
010.96,1,1,,,,,,,,,,,,,,,,,,,,,,,,
011.00,2,1,,,,,,,1,,,,,,,,,,,,,,,,,
011.03,6,4,1,,,,,,,,,1,,,,,,,,,,,,,,
011.04,3,,1,,,,,1,,1,,,,,,,,,,,,,,,,
011.06,1,1,,,,,,,,,,,,,,,,,,,,,,,,
011.10,1,,,,,,,,,1,,,,,,,,,,,,,,,,
011.11,1,,,,1,,,,,,,,,,,,,,,,,,,,,
011.12,1,1,,,,,,,,,,,,,,,,,,,,,,,,
011.13,2,1,,1,,,,,,,,,,,,,,,,,,,,,,
011.16,1,,,1,,,,,,,,,,,,,,,,,,,,,,
011.20,55,19,6,6,4,6,5,2,2,1,1,1,1,,,,,,1,,,,,,,
011.22,2,2,,,,,,,,,,,,,,,,,,,,,,,,
011.23,71,62,2,1,,1,,2,,1,,,,,1,,,,,,,1,,,,
011.24,39,26,2,5,1,2,1,,1,,,,1,,,,,,,,,,,,,
011.25,6,2,,2,1,1,,,,,,,,,,,,,,,,,,,,
011.26,26,15,1,2,2,,2,,1,1,,,,1,,,1,,,,,,,,,
011.30,1,,,,,,,,,,1,,,,,,,,,,,,,,,
011.33,2,,2,,,,,,,,,,,,,,,,,,,,,,,
011.35,1,1,,,,,,,,,,,,,,,,,,,,,,,,
011.36,1,1,,,,,,,,,,,,,,,,,,,,,,,,
011.40,3,,,1,,,,,,1,1,,,,,,,,,,,,,,,
011.43,3,2,,,1,,,,,,,,,,,,,,,,,,,,,
011.44,2,1,,,,,1,,,,,,,,,,,,,,,,,,,
011.45,1,,1,,,,,,,,,,,,,,,,,,,,,,,
011.46,2,2,,,,,,,,,,,,,,,,,,,,,,,,
011.50,12,4,2,,1,1,,,1,2,,1,,,,,,,,,,,,,,
011.52,1,,1,,,,,,,,,,,,,,,,,,,,,,,
011.53,6,2,,,,2,,,2,,,,,,,,,,,,,,,,,
011.54,1,,,1,,,,,,,,,,,,,,,,,,,,,,
011.55,1,,,,,1,,,,,,,,,,,,,,,,,,,,
011.56,3,2,,,,,,,,1,,,,,,,,,,,,,,,,
011.60,14,6,5,2,1,,,,,,,,,,,,,,,,,,,,,
011.61,1,1,,,,,,,,,,,,,,,,,,,,,,,,
011.62,1,,,1,,,,,,,,,,,,,,,,,,,,,,
011.63,35,24,6,1,3,1,,,,,,,,,,,,,,,,,,,,
011.64,9,7,,2,,,,,,,,,,,,,,,,,,,,,,
011.65,4,3,,1,,,,,,,,,,,,,,,,,,,,,,
011.66,8,5,,1,1,1,,,,,,,,,,,,,,,,,,,,
011.70,1,1,,,,,,,,,,,,,,,,,,,,,,,,
011.73,1,,,,,,,,,,,1,,,,,,,,,,,,,,
011.74,1,,,1,,,,,,,,,,,,,,,,,,,,,,
011.80,20,2,7,,1,6,1,2,,,1,,,,,,,,,,,,,,,
011.83,19,12,,2,,3,,,1,1,,,,,,,,,,,,,,,,
011.84,14,9,,,,1,3,,,,,,,,1,,,,,,,,,,,
011.85,3,,,,,2,,,,,,1,,,,,,,,,,,,,,
011.86,6,5,,,,,,,1,,,,,,,,,,,,,,,,,
011.90,601,139,79,76,65,55,47,26,27,27,13,15,8,5,5,3,5,1,2,,,1,2,,,
011.91,5,,1,,1,2,,1,,,,,,,,,,,,,,,,,,
011.92,30,14,3,3,2,1,1,2,2,,1,,,,,1,,,,,,,,,,
011.93,228,142,13,10,9,10,11,5,5,3,3,6,3,,3,2,2,,,,,,,,1,
011.94,108,64,8,6,2,3,7,1,1,2,7,2,1,1,1,,,,,,,1,1,,,
011.95,28,15,3,2,2,,2,3,,,,,,,,,,1,,,,,,,,
011.96,69,37,4,6,4,2,4,2,3,2,2,,2,,,,,,,,1,,,,,
012.00,19,11,1,,,1,3,1,1,1,,,,,,,,,,,,,,,,
012.01,1,,,1,,,,,,,,,,,,,,,,,,,,,,
012.02,2,1,,1,,,,,,,,,,,,,,,,,,,,,,
012.03,13,7,1,1,1,1,1,,,,,,,,1,,,,,,,,,,,
012.04,14,9,1,,1,,,1,,1,,,,,,,1,,,,,,,,,
012.05,6,3,,,,,,1,1,,1,,,,,,,,,,,,,,,
012.06,7,4,,,,1,,1,,,,1,,,,,,,,,,,,,,
012.10,1,,,1,,,,,,,,,,,,,,,,,,,,,,
012.12,1,,,,1,,,,,,,,,,,,,,,,,,,,,
012.13,1,,,1,,,,,,,,,,,,,,,,,,,,,,
012.33,3,,3,,,,,,,,,,,,,,,,,,,,,,,
012.80,1,,,1,,,,,,,,,,,,,,,,,,,,,,
012.82,1,,,,,1,,,,,,,,,,,,,,,,,,,,
012.84,1,,,1,,,,,,,,,,,,,,,,,,,,,,
012.86,1,,,,1,,,,,,,,,,,,,,,,,,,,,
013.00,33,11,10,9,2,,,,,,,,1,,,,,,,,,,,,,
013.02,3,2,1,,,,,,,,,,,,,,,,,,,,,,,
013.03,5,2,1,2,,,,,,,,,,,,,,,,,,,,,,
013.04,12,6,3,2,,,1,,,,,,,,,,,,,,,,,,,
013.05,3,2,,,,,,1,,,,,,,,,,,,,,,,,,
013.06,3,1,1,,1,,,,,,,,,,,,,,,,,,,,,
013.10,1,,,1,,,,,,,,,,,,,,,,,,,,,,
013.20,7,1,,1,1,1,2,,,,1,,,,,,,,,,,,,,,
013.23,1,,,,,,,,,,,,,,1,,,,,,,,,,,
013.26,1,,1,,,,,,,,,,,,,,,,,,,,,,,
013.36,1,1,,,,,,,,,,,,,,,,,,,,,,,,
013.40,3,1,1,,1,,,,,,,,,,,,,,,,,,,,,
013.44,1,,,,,,,,1,,,,,,,,,,,,,,,,,
013.46,1,,,1,,,,,,,,,,,,,,,,,,,,,,
013.50,1,1,,,,,,,,,,,,,,,,,,,,,,,,
013.54,1,,,1,,,,,,,,,,,,,,,,,,,,,,
013.60,2,,1,1,,,,,,,,,,,,,,,,,,,,,,
013.64,2,,2,,,,,,,,,,,,,,,,,,,,,,,
014.00,10,1,3,3,2,,1,,,,,,,,,,,,,,,,,,,
014.03,3,2,1,,,,,,,,,,,,,,,,,,,,,,,
014.04,4,2,1,,,,1,,,,,,,,,,,,,,,,,,,
014.05,1,1,,,,,,,,,,,,,,,,,,,,,,,,
014.06,1,1,,,,,,,,,,,,,,,,,,,,,,,,
014.80,13,,3,1,2,3,1,1,1,,,,,,1,,,,,,,,,,,
014.81,2,,,,2,,,,,,,,,,,,,,,,,,,,,
014.83,2,1,1,,,,,,,,,,,,,,,,,,,,,,,
014.84,3,1,,,1,,,,1,,,,,,,,,,,,,,,,,
014.85,4,1,,1,1,,1,,,,,,,,,,,,,,,,,,,
014.86,4,1,,,,2,,,1,,,,,,,,,,,,,,,,,
015.00,57,8,12,7,10,6,3,5,3,2,,,,1,,,,,,,,,,,,
015.01,1,1,,,,,,,,,,,,,,,,,,,,,,,,
015.02,4,1,,1,,2,,,,,,,,,,,,,,,,,,,,
015.03,3,3,,,,,,,,,,,,,,,,,,,,,,,,
015.04,16,9,1,1,1,1,1,,1,,,,1,,,,,,,,,,,,,
015.05,4,2,1,,1,,,,,,,,,,,,,,,,,,,,,
015.06,5,3,1,,,,1,,,,,,,,,,,,,,,,,,,
015.10,1,1,,,,,,,,,,,,,,,,,,,,,,,,
015.14,2,1,,,1,,,,,,,,,,,,,,,,,,,,,
015.15,1,,,,,,1,,,,,,,,,,,,,,,,,,,
015.20,2,1,,,,,,,,,,,1,,,,,,,,,,,,,
015.23,1,1,,,,,,,,,,,,,,,,,,,,,,,,
015.70,1,,1,,,,,,,,,,,,,,,,,,,,,,,
